2.8;0;0.448;
2.8;1;0.692429;
2.8;2;0.596319;
2.8;3;0.674023;
2.8;4;0.615205;
2.8;5;0.662838;
2.8;6;0.625754;
2.8;7;0.65572;
2.8;8;0.632103;
2.8;9;0.651136;
2.8;10;0.636042;
2.8;11;0.648179;
2.8;12;0.63852;
2.8;13;0.646274;
2.8;14;0.640091;
2.8;15;0.645049;
2.8;16;0.64109;
2.8;17;0.644262;
2.8;18;0.641728;
2.8;19;0.643757;
2.8;20;0.642135;
2.8;21;0.643433;
2.8;22;0.642395;
2.8;23;0.643226;
2.8;24;0.642562;
2.8;25;0.643093;
2.8;26;0.642668;
2.8;27;0.643008;
2.8;28;0.642736;
2.8;29;0.642954;
2.8;30;0.64278;
2.8;31;0.642919;
2.8;32;0.642808;
2.8;33;0.642897;
2.8;34;0.642825;
2.8;35;0.642883;
2.8;36;0.642837;
2.8;37;0.642873;
2.8;38;0.642844;
2.8;39;0.642868;
2.8;40;0.642849;
2.8;41;0.642864;
2.8;42;0.642852;
2.8;43;0.642861;
2.8;44;0.642854;
2.8;45;0.64286;
2.8;46;0.642855;
2.8;47;0.642859;
2.8;48;0.642856;
2.8;49;0.642858;
2.801;0;0.643086;
2.801;1;0.642904;
2.801;2;0.64305;
2.801;3;0.642933;
2.801;4;0.643026;
2.801;5;0.642951;
2.801;6;0.643011;
2.801;7;0.642963;
2.801;8;0.643002;
2.801;9;0.642971;
2.801;10;0.642996;
2.801;11;0.642976;
2.801;12;0.642992;
2.801;13;0.642979;
2.801;14;0.642989;
2.801;15;0.642981;
2.801;16;0.642988;
2.801;17;0.642982;
2.801;18;0.642987;
2.801;19;0.642983;
2.801;20;0.642986;
2.801;21;0.642984;
2.801;22;0.642985;
2.801;23;0.642984;
2.801;24;0.642985;
2.801;25;0.642984;
2.801;26;0.642985;
2.801;27;0.642984;
2.801;28;0.642985;
2.801;29;0.642984;
2.801;30;0.642985;
2.801;31;0.642985;
2.801;32;0.642985;
2.801;33;0.642985;
2.801;34;0.642985;
2.801;35;0.642985;
2.801;36;0.642985;
2.801;37;0.642985;
2.801;38;0.642985;
2.801;39;0.642985;
2.801;40;0.642985;
2.801;41;0.642985;
2.801;42;0.642985;
2.801;43;0.642985;
2.801;44;0.642985;
2.801;45;0.642985;
2.801;46;0.642985;
2.801;47;0.642985;
2.801;48;0.642985;
2.801;49;0.642985;
2.802;0;0.643214;
2.802;1;0.64303;
2.802;2;0.643178;
2.802;3;0.643059;
2.802;4;0.643154;
2.802;5;0.643078;
2.802;6;0.643139;
2.802;7;0.64309;
2.802;8;0.64313;
2.802;9;0.643098;
2.802;10;0.643123;
2.802;11;0.643103;
2.802;12;0.643119;
2.802;13;0.643106;
2.802;14;0.643117;
2.802;15;0.643108;
2.802;16;0.643115;
2.802;17;0.64311;
2.802;18;0.643114;
2.802;19;0.643111;
2.802;20;0.643113;
2.802;21;0.643111;
2.802;22;0.643113;
2.802;23;0.643111;
